Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
2024-11-04 13:00:00,2024-11-04 14:41:00,BANKNIFTY04NOV2424000CE,144.0,187.20000000000002,25,-1,-1080.0,stoploss hit
2024-11-04 13:00:00,2024-11-04 15:00:00,BANKNIFTY04NOV2423800PE,189.0,125.4,25,-1,1590.0,expiry over
2024-11-05 13:00:00,2024-11-05 13:29:00,BANKNIFTY05NOV2424000CE,151.9,197.47000000000003,25,-1,-1139.25,stoploss hit
2024-11-05 13:00:00,2024-11-05 15:00:00,BANKNIFTY05NOV2423800PE,127.1,49.8,25,-1,1932.5,expiry over
2024-11-06 13:00:00,2024-11-06 14:18:00,BANKNIFTY06NOV2424550CE,47.6,61.88,25,-1,-357.0,stoploss hit
2024-11-06 13:00:00,2024-11-06 15:00:00,BANKNIFTY06NOV2424350PE,57.7,37.1,25,-1,515.0,expiry over
2024-11-07 13:00:00,2024-11-07 13:08:00,BANKNIFTY07NOV2424300CE,4.45,4.45,25,-1,0.0,stoploss hit
2024-11-07 13:00:00,2024-11-07 13:06:00,BANKNIFTY07NOV2424100PE,1.55,2.015,25,-1,-11.63,stoploss hit
2024-11-08 13:00:00,2024-11-08 15:00:00,BANKNIFTY08NOV2424250CE,107.75,106.4,25,-1,33.75,expiry over
2024-11-08 13:00:00,2024-11-08 15:00:00,BANKNIFTY08NOV2424050PE,108.65,94.95,25,-1,342.5,expiry over
2024-11-11 13:00:00,2024-11-11 15:00:00,BANKNIFTY11NOV2424350CE,67.25,43.0,25,-1,606.25,expiry over
2024-11-11 13:00:00,2024-11-11 13:42:00,BANKNIFTY11NOV2424150PE,86.95,113.03500000000001,25,-1,-652.13,stoploss hit
2024-11-12 13:00:00,2024-11-12 15:00:00,BANKNIFTY12NOV2424100CE,77.45,43.8,25,-1,841.25,expiry over
2024-11-12 13:00:00,2024-11-12 13:17:00,BANKNIFTY12NOV2423900PE,69.55,90.415,25,-1,-521.63,stoploss hit
2024-11-13 13:00:00,2024-11-13 13:45:00,BANKNIFTY13NOV2423750CE,54.4,70.72,25,-1,-408.0,stoploss hit
2024-11-13 13:00:00,2024-11-13 14:20:00,BANKNIFTY13NOV2423550PE,53.8,53.8,25,-1,0.0,stoploss hit
2024-11-14 13:00:00,2024-11-14 13:09:00,BANKNIFTY14NOV2423650CE,3.45,4.485,25,-1,-25.88,stoploss hit
2024-11-14 13:00:00,2024-11-14 13:40:00,BANKNIFTY14NOV2423450PE,3.8,3.8,25,-1,0.0,stoploss hit
2024-11-18 13:00:00,2024-11-18 15:00:00,BANKNIFTY18NOV2423600CE,79.15,56.5,25,-1,566.25,expiry over
2024-11-18 13:00:00,2024-11-18 14:29:00,BANKNIFTY18NOV2423400PE,84.0,109.2,25,-1,-630.0,stoploss hit
2024-11-19 13:00:00,2024-11-19 15:00:00,BANKNIFTY19NOV2423850CE,46.9,13.55,25,-1,833.75,expiry over
2024-11-19 13:00:00,2024-11-19 14:08:00,BANKNIFTY19NOV2423650PE,49.9,64.87,25,-1,-374.25,stoploss hit
2024-11-21 13:00:00,2024-11-21 13:07:00,BANKNIFTY21NOV2423400CE,3.65,4.745,25,-1,-27.38,stoploss hit
2024-11-21 13:00:00,2024-11-21 15:00:00,BANKNIFTY21NOV2423200PE,4.65,0.5,25,-1,103.75,expiry over
2024-11-22 13:00:00,2024-11-22 13:59:00,BANKNIFTY22NOV2423800CE,164.8,214.24,25,-1,-1236.0,stoploss hit
2024-11-22 13:00:00,2024-11-22 15:00:00,BANKNIFTY22NOV2423600PE,157.0,103.05,25,-1,1348.75,expiry over
2024-11-25 13:00:00,2024-11-25 14:38:00,BANKNIFTY25NOV2424250CE,110.0,143.0,25,-1,-825.0,stoploss hit
2024-11-25 13:00:00,2024-11-25 15:00:00,BANKNIFTY25NOV2424050PE,112.5,70.5,25,-1,1050.0,expiry over
2024-11-26 13:00:00,2024-11-26 13:48:00,BANKNIFTY26NOV2424250CE,85.9,85.9,25,-1,0.0,stoploss hit
2024-11-26 13:00:00,2024-11-26 13:39:00,BANKNIFTY26NOV2424050PE,65.35,84.955,25,-1,-490.13,stoploss hit
2024-11-27 13:00:00,2024-11-27 13:51:00,BANKNIFTY27NOV2424400CE,55.4,72.02,25,-1,-415.5,stoploss hit
2024-11-27 13:00:00,2024-11-27 13:57:00,BANKNIFTY27NOV2424200PE,33.65,33.65,25,-1,0.0,stoploss hit
2024-11-28 13:00:00,2024-11-28 13:56:00,BANKNIFTY28NOV2424100CE,29.55,38.415,25,-1,-221.62,stoploss hit
2024-11-28 13:00:00,2024-11-28 14:12:00,BANKNIFTY28NOV2423900PE,29.45,29.45,25,-1,0.0,stoploss hit
2024-11-29 13:00:00,2024-11-29 15:00:00,BANKNIFTY29NOV2424250CE,123.3,132.2,25,-1,-222.5,expiry over
2024-11-29 13:00:00,2024-11-29 15:00:00,BANKNIFTY29NOV2424050PE,127.05,97.9,25,-1,728.75,expiry over
2024-12-02 13:00:00,2024-12-02 14:01:00,BANKNIFTY02DEC2424300CE,125.25,162.82500000000002,25,-1,-939.38,stoploss hit
2024-12-02 13:00:00,2024-12-02 15:00:00,BANKNIFTY02DEC2424100PE,115.55,78.45,25,-1,927.5,expiry over
2024-12-03 13:00:00,2024-12-03 15:00:00,BANKNIFTY03DEC2424550CE,78.5,84.25,25,-1,-143.75,expiry over
2024-12-03 13:00:00,2024-12-03 15:00:00,BANKNIFTY03DEC2424350PE,100.7,91.1,25,-1,240.0,expiry over
2024-12-04 13:00:00,2024-12-04 13:32:00,BANKNIFTY04DEC2424600CE,56.65,73.645,25,-1,-424.87,stoploss hit
2024-12-04 13:00:00,2024-12-04 14:20:00,BANKNIFTY04DEC2424400PE,97.85,97.85,25,-1,0.0,stoploss hit
2024-12-05 13:00:00,2024-12-05 13:13:00,BANKNIFTY05DEC2424700CE,69.05,89.765,25,-1,-517.88,stoploss hit
2024-12-05 13:00:00,2024-12-05 13:13:00,BANKNIFTY05DEC2424500PE,80.35,80.35,25,-1,0.0,stoploss hit
2024-12-06 13:00:00,2024-12-06 15:00:00,BANKNIFTY06DEC2424800CE,153.8,131.15,25,-1,566.25,expiry over
2024-12-06 13:00:00,2024-12-06 15:00:00,BANKNIFTY06DEC2424600PE,132.55,146.35,25,-1,-345.0,expiry over
2024-12-09 13:00:00,2024-12-09 15:00:00,BANKNIFTY09DEC2424750CE,105.6,91.85,25,-1,343.75,expiry over
2024-12-09 13:00:00,2024-12-09 15:00:00,BANKNIFTY09DEC2424550PE,107.65,113.7,25,-1,-151.25,expiry over
2024-12-10 13:00:00,2024-12-10 15:00:00,BANKNIFTY10DEC2424650CE,82.85,90.4,25,-1,-188.75,expiry over
2024-12-10 13:00:00,2024-12-10 15:00:00,BANKNIFTY10DEC2424450PE,84.5,61.6,25,-1,572.5,expiry over
2024-12-11 13:00:00,2024-12-11 15:00:00,BANKNIFTY11DEC2424750CE,31.4,25.85,25,-1,138.75,expiry over
2024-12-11 13:00:00,2024-12-11 15:00:00,BANKNIFTY11DEC2424550PE,39.8,34.7,25,-1,127.5,expiry over
2024-12-12 13:00:00,2024-12-12 13:07:00,BANKNIFTY12DEC2424700CE,5.8,7.54,25,-1,-43.5,stoploss hit
2024-12-12 13:00:00,2024-12-12 13:07:00,BANKNIFTY12DEC2424500PE,15.55,15.55,25,-1,0.0,stoploss hit
2024-12-13 13:00:00,2024-12-13 15:00:00,BANKNIFTY13DEC2424750CE,147.15,144.35,25,-1,70.0,expiry over
2024-12-13 13:00:00,2024-12-13 15:00:00,BANKNIFTY13DEC2424550PE,124.4,78.5,25,-1,1147.5,expiry over
2024-12-16 13:00:00,2024-12-16 15:00:00,BANKNIFTY16DEC2424750CE,131.1,134.0,25,-1,-72.5,expiry over
2024-12-16 13:00:00,2024-12-16 15:00:00,BANKNIFTY16DEC2424550PE,120.75,88.05,25,-1,817.5,expiry over
2024-12-17 13:00:00,2024-12-17 15:00:00,BANKNIFTY17DEC2424550CE,91.15,57.1,25,-1,851.25,expiry over
2024-12-17 13:00:00,2024-12-17 13:16:00,BANKNIFTY17DEC2424350PE,93.65,121.745,25,-1,-702.38,stoploss hit
2024-12-18 13:00:00,2024-12-18 13:07:00,BANKNIFTY18DEC2424300CE,46.9,60.97,25,-1,-351.75,stoploss hit
2024-12-18 13:00:00,2024-12-18 13:51:00,BANKNIFTY18DEC2424100PE,49.0,49.0,25,-1,0.0,stoploss hit
2024-12-19 13:00:00,2024-12-19 15:00:00,BANKNIFTY19DEC2424050CE,9.35,0.65,25,-1,217.5,expiry over
2024-12-19 13:00:00,2024-12-19 13:20:00,BANKNIFTY19DEC2423850PE,5.35,6.955,25,-1,-40.13,stoploss hit
2024-12-20 13:00:00,2024-12-20 15:00:00,BANKNIFTY20DEC2423850CE,156.0,98.45,25,-1,1438.75,expiry over
2024-12-20 13:00:00,2024-12-20 14:12:00,BANKNIFTY20DEC2423650PE,121.4,157.82000000000002,25,-1,-910.5,stoploss hit
2024-12-23 13:00:00,2024-12-23 14:19:00,BANKNIFTY23DEC2423800CE,66.5,86.45,25,-1,-498.75,stoploss hit
2024-12-23 13:00:00,2024-12-23 15:00:00,BANKNIFTY23DEC2423600PE,69.15,41.45,25,-1,692.5,expiry over
2024-12-24 13:00:00,2024-12-24 15:00:00,BANKNIFTY24DEC2423900CE,37.1,23.8,25,-1,332.5,expiry over
2024-12-24 13:00:00,2024-12-24 13:42:00,BANKNIFTY24DEC2423700PE,33.15,43.095,25,-1,-248.62,stoploss hit
2024-12-26 13:00:00,2024-12-26 13:19:00,BANKNIFTY26DEC2423850CE,3.2,4.16,25,-1,-24.0,stoploss hit
2024-12-26 13:00:00,2024-12-26 13:28:00,BANKNIFTY26DEC2423650PE,4.55,4.55,25,-1,0.0,stoploss hit
2024-12-27 13:00:00,2024-12-27 15:00:00,BANKNIFTY27DEC2423950CE,114.1,96.75,25,-1,433.75,expiry over
2024-12-27 13:00:00,2024-12-27 15:00:00,BANKNIFTY27DEC2423750PE,98.55,97.6,25,-1,23.75,expiry over
2024-12-30 13:00:00,2024-12-30 15:00:00,BANKNIFTY30DEC2423900CE,96.1,57.9,25,-1,955.0,expiry over
2024-12-30 13:00:00,2024-12-30 13:31:00,BANKNIFTY30DEC2423700PE,95.15,123.69500000000001,25,-1,-713.62,stoploss hit
2024-12-31 13:00:00,2024-12-31 13:39:00,BANKNIFTY31DEC2423700CE,96.85,125.905,25,-1,-726.38,stoploss hit
2024-12-31 13:00:00,2024-12-31 15:00:00,BANKNIFTY31DEC2423500PE,91.95,67.15,25,-1,620.0,expiry over
